Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
OWNER WILL TRADE FOR INCOME PROPERTY,On-Market,Land,2201 Starline Meadow Pl,Las Vegas,NV,89134,N/A,,,,,,,,,"$550,000.00 ",No
Medical Office  Surgical Center For Sale,On-Market,Office,1186 Roosevelt Rd,Glen Ellyn,IL,60137,Single,,,3805,,,,,,"$1,100,000.00 ",No
"ALC Investments, LLC",On-Market,Special Purpose,621 & 633 North Jefferies Hwy,Walterboro,SC,29488,N/A,,,2742,,0,,,,"$550,000.00 ",No
"Rally's Groveport, OH",On-Market,Retail,3800 S Hamilton Rd,Groveport,OH,43125,Single,20,,950,"$1,674.78 ",1,,"$79,552.00 ",5.00%,"$1,591,040.00 ",No
Monticello Plaza,On-Market,Retail,3720 - 3828 O’Fallon Road,O'Fallon,MO,63366,N/A,,,,,,,,,,No
0 Hwy 98,On-Market,Land,0 Hwy 98,Pensacola,FL,32506,N/A,,,,,,,,,"$4,644,500.00 ",No
The Matrix Medical,On-Market,Office,8966 SW 40th St,Miami,FL,33165,Vacant,,,45829,$301.12 ,,,,5.20%,"$13,800,000.00 ",No
The Junction,On-Market,Mixed Use,17/92 & Dirksen Dr,Debary,FL,32713,N/A,,,,,,,,,,No
Tractor Supply,On-Market,Retail,27826 Clinton Keith Rd,Murrieta,CA,92562,Single,15,9.1,31759,$280.24 ,,,,,"$8,900,000.00 ",No
Dark Rite Aid,On-Market,Retail,1320 W Floyd Baker Blvd,Gaffney,SC,29341,Vacant,,2.4,14221,$205.21 ,,,"$291,984.00 ",10.01%,"$2,918,300.00 ",No
Washington Square Shopping Center,On-Market,Retail,555-1102 Washington Square Center,Washington,MO,63090,Multi,,5,111582,,20,,,,"$12,850,000.00 ",No
"Hobby Lobby Niagara Falls, NY",On-Market,Retail,1560 Military Rd,Niagara Falls,NY,14304,Single,,11,54087,$129.42 ,1,,"$429,992.00 ",6.15%,"$7,000,000.00 ",No
