Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
Acres of Vacant Land - Meijer Drive,On-Market,Land,Meijer Drive,Charlotte,MI,48813,N/A,,,,,,,,,"$395,000.00 ",No
738 E Venice Avenue Venice Ave and Live,On-Market,Office,738 E Venice Avenue Venice Ave and Live Oak St,Venice,FL,34285,N/A,,,,,,,,,"$1,700,000.00 ",No
The Ironwood District,On-Market,Retail,695 E Ocotillo Rd,San Tan Valley,AZ,85140,N/A,,,250000,,,,,,,No
267 Brooklyn Street,On-Market,Office,267 Brooklyn St,Carbondale,PA,18407,Single,,,8078,$86.04 ,,,,,"$695,000.00 ",No
Fast Pace Health Center,On-Market,Office,129 N Locust Ave,Lawrenceburg,TN,38464,Multi,12,9.9,7495,$254.13 ,,,"$155,232.00 ",8.15%,"$1,904,700.00 ",No
"WellNow Gloversville, NY",On-Market,Retail,332 S Kingsboro Avenue Extension,Gloversville,NY,12078,Single,10,10.2,3500,$653.82 ,1,,"$148,749.00 ",6.50%,"$2,288,368.62 ",No
NBT Bank Absolute NNN,On-Market,Retail,703 Troy Schenectady Rd,Latham,NY,12110,Single,15,1.9,2942,"$1,072.40 ",,,"$181,429.00 ",5.75%,"$3,155,000.00 ",No
Big Box RetailOfficeMed- Center Dense Infill,On-Market,Mixed Use,2100 N Bellflower Blvd,Long Beach,CA,90815,Single,,,153492,,1,,,,,No
29690 State Highway 181,On-Market,Land,29690 State Highway 181,Daphne,AL,36526,N/A,,,,,,,,,"$1,300,000.00 ",No
The Shops at Oak Creek - Building B2,On-Market,Retail,29105 Canwood St,Agoura Hills,CA,91301,N/A,,,7834,$638.24 ,2,,,6.00%,"$5,000,000.00 ",No
"PM Pediatrics - Mt. Prospect, IL",On-Market,Office,204 W Rand Rd,Mount Prospect,IL,60056,Single,20,20.4,5051,$824.92 ,1,,"$250,000.00 ",6.00%,"$4,166,667.00 ",No
White Pond Road,On-Market,Office,893 White Pond Rd,Elgin,SC,29045,Vacant,,,9100,$71.43 ,,,,,"$650,000.00 ",No
Lot 77,On-Market,Land,365 McGregor Dr,Gypsum,CO,81637,N/A,,,,,,,,,"$750,000.00 ",No
24th Street  E. Baseline,On-Market,Land,SWC 24th Street and Baseline Road,Phoenix,AZ,85042,N/A,,,,,,,,,,No
8401 Osuna Rd NE,On-Market,Office,8401 Osuna Rd NE,Albuquerque,NM,87111,N/A,,,9800,$19.50 ,,,,,"$1,500,000.00 ",No
3940 Washington Road,On-Market,Office,3940 Washington Road,Augusta,GA,30907,N/A,,,8000,$106.25 ,,,,,"$850,000.00 ",No
17333 10 Mile Rd,On-Market,Office,17333 10 Mile Rd,Southfield,MI,48075,N/A,,,4020,$104.45 ,,,,,"$419,900.00 ",No
Ventura Boulevard,On-Market,Special Purpose,Ventura Boulevard,Woodland Hills,CA,91364,N/A,,,3462,,0,,,,"$2,995,000.00 ",No
995 Old Dallas Highway,On-Market,Land,995 Old Dallas Highway,Douglasville,GA,30134,N/A,,,,,,,,,"$465,000.00 ",No
100k Fee to Buyer's Broker Walgreens,On-Market,Retail,904 Columbus Ave,Lebanon,OH,45036,Single,,,,,,,"$345,000.00 ",9.00%,"$3,833,300.00 ",No
SEC of Rinconada  Bataan Memorial East,On-Market,Land,3402 Rinconada Blvd,Las Cruces,NM,88011,N/A,,,,,,,,,,No
10-12 Howard Blvd,On-Market,Retail,10 Howard Blvd,Mt Arlington,NJ,7856,N/A,,,2000,,,,,,,No
Atwood Medical Center,On-Market,Office,"1524 Atwood Avenue, Unit 114",Johnston,RI,2919,N/A,,,1097,$86.60 ,,,,,"$95,000.00 ",No
4393 E. Ellsworth Road,On-Market,Land,4393 E. Ellsworth Road,Ypsilanti,MI,48197,N/A,,,,,,,,,"$750,000.00 ",No
1940 W. Glendale Ave.,On-Market,Retail,1940 W Glendale Ave,Phoenix,AZ,85021,Multi,,,13969,$243.40 ,,,"$158,000.08 ",4.65%,"$3,400,000.00 ",Yes
1010 Grove St,On-Market,Land,1010 Grove St,Shelby,NC,28152,N/A,,,,,,,,,"$299,000.00 ",No
"1025  1037 E Wilson, Batavia",On-Market,Land,1037 E Wilson St,Batavia,IL,60510,N/A,,,,,,,,,,No
3303 NW Cache Rd,On-Market,Land,3303 NW Cache Rd,Lawton,OK,73505,N/A,,,12375,,1,,,,,No
Golden Gate Shopping Center,On-Market,Land,Conant Street,Maumee,OH,43537,N/A,,,,,,,,,"$850,000.00 ",No
6th Avenue Central,On-Market,Office,605 Parfet St,Lakewood,CO,80215,Multi,,,21052,$166.25 ,6,,"$261,396.00 ",7.47%,"$3,500,000.00 ",Yes
6.4 Acres on Cross Keys Rd,On-Market,Land,251 Berlin - Cross Keys Rd,Berlin,NJ,8009,N/A,,,,,,,,,"$295,000.00 ",No
1341 South Valley,On-Market,Land,1341 S Valley Dr,Las Cruces,NM,88005,N/A,,,,,,,,,,No
DaVita Wayne,On-Market,Office,600 McGinnis Dr,Wayne,WV,25570,Vacant,,,6796,$132.43 ,1,,$0.00 ,0.00%,"$900,000.00 ",No
Huntsville AFC,On-Market,Office,4550 University Dr NW,Huntsville,AL,35816,Vacant,,,3927,$216.45 ,,,,,"$850,000.00 ",Yes
251 Cross Keys Rd,On-Market,Land,251 Cross Keys Rd,Berlin,NJ,8009,N/A,,,,,,,,,"$295,000.00 ",No
"214-215th GOULDS, FL 33189",On-Market,Special Purpose,"214-215th GOULDS, FL 33189",Goulds,FL,33189,N/A,,,,,0,,,,"$1,100,000.00 ",No
Tuscany Village,On-Market,Land,4774 Verona Dr,St. Joseph,MO,64506,N/A,,,,,,,,,,No
0 Highway 27 N,On-Market,Land,0 Highway 27 N,Bremen,GA,30110,N/A,,,,,,,,,"$160,000.00 ",No
Tbd NW St James Boulevard,On-Market,Land,Tbd NW St James Boulevard,Port St. Lucie,FL,34983,N/A,,,,,,,,,"$699,000.00 ",No
Ventura Boulevard,On-Market,Special Purpose,Ventura Boulevard,Woodland Hills,CA,91364,N/A,,,3462,,0,,,,"$14,995.00 ",No
"100 Pinnacles Drive, Palm Coast, FL 32164",On-Market,Special Purpose,"100 Pinnacles Drive, Palm Coast, FL 32164",Palm Coast,FL,32164,N/A,,,,,,,,,"$285,000.00 ",No
Rite Aid Pharmacy,On-Market,Retail,2430 -2440 New Hartford Rd,Owensboro,KY,42303,Vacant,,,10300,,2,,,,,No
75 Cedar Park Court,On-Market,Office,75 Cedar Park Court,Front Royal,VA,22630,N/A,,,7674,$260.62 ,,,,,"$2,000,000.00 ",No
405 Main Street,On-Market,Retail,405 Main Street,Pennsburg,PA,18073,N/A,,,3500,$185.69 ,,,,,"$649,900.00 ",No
2701 Valley West Drive,On-Market,Land,2701 Valley West Drive,Clinton,IA,52732,N/A,,,,,,,,,"$539,000.00 ",No
Hallmark,On-Market,Special Purpose,"3800 S Ocean Dr # G3, Hollywood FL 33019",Hollywood,FL,33019,N/A,,,,,,,,,"$3,200,000.00 ",No
3315-3317 NW Cache Rd.,On-Market,Land,3315-3317 NW Cache Rd.,Lawton,OK,73505,N/A,,,,,2,,,,"$399,000.00 ",No
4.78 AC Development Site,On-Market,Land,3086 Allison-Bonnett Memorial Dr,Bessemer,AL,35023,N/A,,,,,,,,,"$549,000.00 ",No
6330 W. Flamingo Road,On-Market,Office,6330 W. Flamingo Road,Las Vegas,NV,89103,N/A,,,11703,$196.53 ,,,,,"$2,300,000.00 ",No
Fully Leased Warehouse for Sale,On-Market,Industrial,270/272 Beth Stacey Blvd,Lehigh Acres,FL,33936,Multi,,,7245,,,,,,"$1,220,000.00 ",No
000 Buckeye Cove Road,On-Market,Land,000 Buckeye Cove Road,Waynesville,NC,28716,N/A,,,,,,,,,"$850,000.00 ",No
2420 Lillian Way,On-Market,Land,2420 Lillian Way,Clinton,IA,52732,N/A,,,,,23,,,,"$228,254.00 ",No
2480 Lillian Way,On-Market,Land,2480 Lillian Way,Clinton,IA,52732,N/A,,,,,,,,,"$119,790.00 ",No
2825 Commerce Street,On-Market,Land,2825 Commerce Street,Clinton,IA,52732,N/A,,,,,,,,,"$176,853.00 ",No
2970 Santa Rosa Avenue,On-Market,Retail,2970 Santa Rosa Avenue,Santa Rosa,CA,95407,Multi,,,10976,$234.97 ,,,,,"$2,579,000.00 ",No
2440 Lillian Way,On-Market,Land,2440 Lillian Way,Clinton,IA,52732,N/A,,,,,,,,,"$97,029.00 ",No
2820 Commerce Street,On-Market,Land,2820 Commerce Street,Clinton,IA,52732,N/A,,,,,,,,,"$145,055.00 ",No
Granada Boulevard Fast Food Site,On-Market,Land,121 E Granada Blvd,Ormond Beach,FL,32176,N/A,,,,,,,,,"$950,000.00 ",No
200 S Provident Way,On-Market,Land,200 S Provident Way,Elizabethtown,KY,42701,N/A,,,,,,,,,"$2,400,000.00 ",No
Dollar Tree,On-Market,Retail,1340 Logan Ave,Waterloo,IA,50703,Single,,5.6,8000,$155.12 ,,,"$90,000.00 ",7.25%,"$1,241,000.00 ",No
42951 Dequindre,On-Market,Special Purpose,42951 Dequindre,Troy,MI,48085,N/A,,,4250,,0,,,,"$1,799,000.00 ",No
W 3rd Office  Service  Retail,On-Market,Office,1177 W 3rd Ave,Columbus,OH,43212,Single,,,3328,$210.34 ,1,,,,"$700,000.00 ",No
2460 Lillian Way,On-Market,Land,2460 Lillian Way,Clinton,IA,52732,N/A,,,,,,,,,"$93,436.00 ",No
NNN Rite Aid Pharmacy,On-Market,Retail,577 Larkfield Rd,East Northport,NY,11731,Single,27,9.1,10908,$726.53 ,1,,"$462,483.00 ",5.84%,"$7,925,000.00 ",No
Two B1 Lots Totaling 2.1 Acres With Frontage on Rt-29,On-Market,Land,14203 Lee Hwy,Gainesville,VA,20155,N/A,,,,,,,,,"$1,525,000.00 ",No
2800 Commerce Street,On-Market,Land,2800 Commerce Street,Clinton,IA,52732,N/A,,,,,,,,,"$155,500.00 ",No
2490 Lillian Way,On-Market,Land,2490 Lillian Way,Clinton,IA,52732,N/A,,,,,,,,,"$120,225.00 ",No
Rare Florida CVS With Rent Bumps,On-Market,Retail,1105 W Main St,Avon Park,FL,33825,Single,,,11200,$303.57 ,,,"$239,000.00 ",7.00%,"$3,400,000.00 ",Yes
Redstone Ave W,On-Market,Land,Redwood Ave. W,Crestview,FL,32539,N/A,,,,,,,,,"$365,000.00 ",No
5521 Airline Hwy,On-Market,Land,5521 Airline Hwy,Baton Rouge,LA,70805,N/A,,,,,,,,,"$550,000.00 ",Yes
"Community Center, 12950 S US-127",On-Market,Retail,12950 South US-127,Van Wert,OH,48820,N/A,,,22000,$38.64 ,,,,,"$850,000.00 ",No
"4331 Middle Country Road, Calverton, NY",On-Market,Land,4331 Middle Country Rd,Calverton,NY,11933,N/A,,,,,,,,,"$2,500,000.00 ",Yes
Renovated Multi Tenant Building,On-Market,Retail,1137 W Boston Post Rd,Mamaroneck,NY,10543,Multi,,,5000,$629.80 ,,,,5.00%,"$3,149,000.00 ",No
5252 S Sherwood Forest Blvd,On-Market,Retail,5252 S Sherwood Forest Blvd,Baton Rouge,LA,70816,Single,,,10375,$162.89 ,,,,,"$1,200,000.00 ",No
Athens Commercial Development Site  8.42 Acres,On-Market,Land,280 Harve Mathis Rd,Athens,GA,30601,N/A,,,,,88,,,,"$850,000.00 ",No
Sierra Town Center,On-Market,Retail,2020 - 2202 West Craig Road,North Las Vegas,NV,89032,Multi,,,43481,$310.02 ,,,"$944,114.00 ",7.00%,"$13,480,000.00 ",No
"WellNow Hamburg, NY",On-Market,Retail,4923 Southwestern Blvd,Hamburg,NY,14075,Single,10,10.1,3500,$646.15 ,1,,"$147,000.00 ",6.50%,"$2,261,538.46 ",No
2 Tracts of land Available,On-Market,Land,Exp. 83 Frontage & Whalen Road,Alamo,TX,78516,N/A,,,,,,,,,"$1,790,000.00 ",No
The Shops at Rinconada,On-Market,Land,Rinconada Blvd,Las Cruces,NM,88011,N/A,,,,,,,,,,No
"1056 S Val Vista Drive, Suite 100",On-Market,Office,"1056 S Val Vista Drive, Suite 100",Mesa,AZ,85204,N/A,,,4828,,,,,,,No
Chapin Road Outparcels,On-Market,Land,1235 Chapin Rd,Chapin,SC,29036,N/A,,,,,,,,,"$4,266,000.00 ",No
7771 N 43rd Ave,On-Market,Office,7771 N 43rd Ave,Phoenix,AZ,85051,N/A,,,6628,$341.65 ,,,,,"$2,264,444.00 ",No
"The Dana Center - Units 105, 106,  107",On-Market,Office,11950 County Road 101,The Villages,FL,32162,N/A,,,4066,$245.94 ,3,,,,"$1,000,000.00 ",No
2582 Loganville Highway,On-Market,Land,2582 Loganville Hwy,Grayson,GA,30017,N/A,,,,,,,,,"$683,000.00 ",No
15621 Main St,On-Market,Land,15621 Main St,Hesperia,CA,92345,N/A,,,,,,,,,"$495,000.00 ",No
Opportunity Zone Retail Vacant Land,On-Market,Land,6921 Central Ave NW,Albuquerque,NM,87121,N/A,,,,,,,,,"$1,174,378.00 ",Yes
Crater Lake Hwy,On-Market,Land,Crater Lake Hwy (Acre 7.67),White City,OR,97503,N/A,,,,,,,,,"$2,890,000.00 ",No
"317 Foxon Road, East Haven",On-Market,Office,317 Foxon Rd,East Haven,CT,6513,N/A,,,24272,$111.24 ,,,"$219,836.00 ",8.14%,"$2,700,000.00 ",No
Crater Lake Hwy,On-Market,Land,Crater Lake Hwy (Lot 3),White City,OR,97503,N/A,,,,,,,,,"$1,950,000.00 ",No
"Port St. John Parkway, Cocoa FL 32927",On-Market,Special Purpose,"Port St. John Parkway, Cocoa FL 32927",Cocoa,FL,32927,N/A,,,,,,,,,"$5,894,000.00 ",No
E Northrise Dr,On-Market,Retail,E Northrise Dr,Las Cruces,NM,88011,N/A,,,,,,,,,"$175,000.00 ",No
7000 W North Avenue,On-Market,Office,7000 W North Avenue,Chicago,IL,60707,Multi,,,15284,$63.79 ,19,"$51,315.79 ","$86,142.00 ",8.84%,"$975,000.00 ",No
"Freestanding Medical Office Opportunity  7,158 SF",On-Market,Office,3546 Covington Hwy,Decatur,GA,30032,N/A,,,7158,$192.79 ,,,,,"$1,380,000.00 ",Yes
0000 E NORTHRISE Drive,On-Market,Land,0000 E NORTHRISE Drive,Las Cruces,NM,88011,N/A,,,,,,,,,"$175,000.00 ",No
Former Rite Aid,On-Market,Retail,2547 W Rosamond Blvd,Rosamond,CA,93560,N/A,,,31608,,,,,,,No
"Two Suite, 5000 sqft Professional Building on 4.3 Acres",On-Market,Office,10 Gagnon Dr,Stone Ridge,NY,12484,Vacant,,,5000,$110.00 ,,,,,"$550,000.00 ",No
152 Wilmot Avenue,On-Market,Industrial,152 Wilmot Ave,Bridgeport,CT,6607,N/A,,,10336,$48.28 ,,,,,"$499,000.00 ",Yes
4.29 Acre Site,On-Market,Land,US Hwy 74,Indian Trail,NC,28079,N/A,,,,,,,,,"$600,000.00 ",No
Atrium Health,On-Market,Office,4429 NC-27,Vale,NC,28168,N/A,,,3855,,1,"$1,211,571.40 ",,,"$1,211,571.40 ",No
Harvard Square II,On-Market,Office,18645 Canal Rd,Clinton Twp,MI,48038,Single,,,2273,$74.79 ,1,"$170,000.00 ",,,"$170,000.00 ",No
Crater Lake Hwy,On-Market,Land,Crater Lake Hwy,White City,OR,97503,N/A,,,,,,,,,"$1,475,000.00 ",No
Dollar Tree  Pharmacy,On-Market,Retail,2415 Fairview Blvd,Fairview,TN,37062,Multi,,7,13648,$146.54 ,,,"$134,999.00 ",6.75%,"$2,000,000.00 ",No
Commercial Development 7.5 acres,On-Market,Land,32 Gibbs Ct,Middletown,NY,10940,N/A,,,,,,,,,"$1,500,000.00 ",No
1867-B Highway 544,On-Market,Office,1867-B Highway 544,Conway,SC,29526,N/A,,,0,,0,,,,"$1,821.00 ",No
21501 Avalon Blvd,On-Market,Office,21501 S Avalon Blvd,Carson,CA,90745,Single,,,8409,,,,,5.84%,"$4,600,000.00 ",No
1615 Medical Center Pt,On-Market,Office,1615 Medical Center Point,Colorado Springs,CO,80907,Vacant,,,10990,$191.08 ,,,,,"$2,100,000.00 ",No
"87 LAFAYETTE ST, NASHVILLE TN 37210",On-Market,Retail,87 Lafayette St,Nashville,TN,37210,Multi,,,3031,$552.62 ,,,,,"$1,675,000.00 ",Yes
102-02 Liberty Avenue,On-Market,Retail,102-02 Liberty Ave,Queens,NY,11417,N/A,,,3000,"$1,683.33 ",,,,,"$5,050,000.00 ",No
Plaza 70,On-Market,Retail,Plaza 70,Marlton,NJ,8053,Multi,,,6000,$161.67 ,,,,,"$970,000.00 ",No
Plaza 70,On-Market,Retail,65 E. Route 70,Marlton,NJ,8053,N/A,,,6000,$161.67 ,,,,,"$970,000.00 ",No
435 Corporate Dr,On-Market,Office,435 Corporate Dr,Houma,LA,70360,N/A,,,4156,$294.75 ,,,,,"$1,225,000.00 ",No
200 Hubbard Road,On-Market,Land,200 Hubbard Road,Guilford,CT,6437,N/A,,,,,,,,,"$2,499,000.00 ",No
