Property Name,External URL,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
Family Dollar,https://www.crexi.com/properties/519938/virginia-family-dollar#,On-Market,Retail,2328 E Princess Anne Rd,Norfolk,VA,23504,Single,10.4,9.2,9180,$273.42 ,1,,"$164,377.00 ",6.55%,"$2,510,000.00 ",No
Family Dollar,https://www.crexi.com/properties/503458/oklahoma-family-dollar#,On-Market,Retail,SEC Russworm Drive & South Leach Avenue,Watonga,OK,73772,Single,,10.2,9180,$154.68 ,1,,"$97,250.00 ",6.85%,"$1,420,000.00 ",No
Family Dollar,https://www.crexi.com/properties/279/south-carolina-family-dollar#,On-Market,Retail,5191 Turbeville Highway,Turbeville,SC,29162,Single,15.4,1.5,9177,$96.44 ,,,"$79,720.00 ",9.00%,"$885,000.00 ",No
Family Dollar,https://www.crexi.com/properties/368136/alabama-family-dollar#,On-Market,Retail,332 Gadsden Hwy,Birmingham,AL,35235,Single,10.3,8.8,8400,$180.53 ,1,,"$106,150.00 ",7.00%,"$1,516,428.00 ",No
Family Dollar,https://www.crexi.com/properties/219626/georgia-family-dollar#,On-Market,Retail,2030 Watson Blvd,Warner Robins,GA,31093,Single,10,3.7,9180,,,,"$112,454.00 ",7.75%,"$1,451,000.00 ",No
Family Dollar,https://www.crexi.com/properties/280510/michigan-family-dollar#,On-Market,Retail,6704 M-221,Brimley,MI,49715,Single,12,8.5,8320,$121.03 ,,,"$74,000.00 ",7.35%,"$1,007,000.00 ",No
Family Dollar,https://www.crexi.com/properties/307024/virginia-family-dollar#,On-Market,Retail,600 Augusta Ave,Grottoes,VA,24441,Single,,1,7000,$38.29 ,,,,8.00%,"$268,000.00 ",No
Family Dollar,https://www.crexi.com/properties/303190/louisiana-family-dollar#,On-Market,Retail,3000 LA-10,Jackson,LA,70748,Single,,,7000,$60.43 ,,,"$35,944.00 ",8.50%,"$423,000.00 ",No
Family Dollar,https://www.crexi.com/properties/499246/indiana-family-dollar#,On-Market,Retail,Family Dollar,Gary,IN,46407,Single,,,,,,,"$83,355.00 ",11.11%,"$750,270.00 ",No
Family Dollar,https://www.crexi.com/properties/502269/west-virginia-family-dollar#,On-Market,Retail,2101 8th Ave,Huntington,WV,25703,Single,15,4.6,9180,$113.07 ,,,"$82,000.00 ",7.90%,"$1,037,970.00 ",No
Family Dollar,https://www.crexi.com/properties/483043/pennsylvania-family-dollar#,On-Market,Retail,66 Main St,Lawrenceville,PA,16929,Multi,10.1,3.7,8320,$126.04 ,2,,"$89,135.00 ",8.50%,"$1,048,647.00 ",No
Family Dollar,https://www.crexi.com/properties/445912/michigan-family-dollar#,On-Market,Retail,15200 E Warren Ave,Detroit,MI,48224,Single,,3.5,11115,$116.96 ,,,"$104,400.00 ",8.03%,"$1,299,999.00 ",No
Family Dollar,https://www.crexi.com/properties/451357/kentucky-family-dollar#,On-Market,Retail,2421 West Market St.,Louisville,KY,40212,Single,10,7,11172,$125.40 ,,,,8.00%,"$1,400,995.00 ",No
Family Dollar,https://www.crexi.com/properties/402854/georgia-family-dollar#,On-Market,Retail,1206 Telfair Street,Dublin,GA,31021,Single,,1,9180,$115.38 ,,,"$75,735.00 ",7.15%,"$1,059,231.00 ",Yes
Family Dollar,https://www.crexi.com/properties/450340/virginia-family-dollar#,On-Market,Retail,2788-2812 James Madison Highway,Fork Union,VA,23022,Multi,,5,2700,,,,,7.00%,,No
Family Dollar,https://www.crexi.com/properties/425684/kentucky-family-dollar#,On-Market,Retail,4126 Taylor Blvd,Louisville,KY,40215,Single,,7,7920,$132.58 ,,,"$70,785.00 ",6.74%,"$1,050,000.00 ",No
Family Dollar,https://www.crexi.com/properties/372243/ohio-family-dollar#,On-Market,Retail,3981 Oh State Road 56,New Marshfield,OH,45766,Single,10,8.7,9180,$132.54 ,,,"$94,297.00 ",7.75%,"$1,216,742.00 ",No
Family Dollar,https://www.crexi.com/properties/348563/louisiana-family-dollar#,On-Market,Retail,7535 LA-182,Morgan City,LA,70380,Single,,3.5,8320,$120.91 ,,,"$82,980.00 ",8.25%,"$1,006,000.00 ",No
Family Dollar,https://www.crexi.com/properties/310414/mississippi-family-dollar#,On-Market,Retail,1153 US-61,Port Gibson,MS,39150,Single,,,11000,$68.82 ,,,"$68,172.00 ",9.01%,"$757,000.00 ",No
Family Dollar,https://www.crexi.com/properties/291913/indiana-family-dollar#,On-Market,Retail,2 East IN-64,Birdseye,IN,47513,Single,15.4,10.2,8320,$172.96 ,1,,"$97,133.00 ",6.75%,"$1,439,007.00 ",No
Family Dollar,https://www.crexi.com/properties/424797/mississippi-family-dollar#,On-Market,Retail,US-90,Waveland,MS,39576,Single,12,2.5,8500,$119.80 ,1,,"$91,650.00 ",9.00%,"$1,018,334.00 ",No
Family Dollar,https://www.crexi.com/properties/447155/florida-family-dollar#,On-Market,Retail,6729 Blanding Blvd,Jacksonville,FL,32244,Single,16.2,4.5,9180,$203.38 ,,,"$140,000.00 ",7.50%,"$1,867,000.00 ",No
Family Dollar,https://www.crexi.com/properties/472261/south-carolina-family-dollar#,On-Market,Retail,18985 Low Country Hwy,Ruffin,SC,29475,Single,,,9100,$148.02 ,,,"$94,290.00 ",7.00%,"$1,347,000.00 ",Yes
Family Dollar,https://www.crexi.com/properties/479816/florida-family-dollar#,On-Market,Retail,17 W Washington St,Chattahoochee,FL,32324,Single,,,10104,$143.61 ,,,"$105,200.00 ",7.25%,"$1,451,000.00 ",No
Family Dollar,https://www.crexi.com/properties/402865/georgia-family-dollar#,On-Market,Retail,4925 Bloomfield Rd,Macon,GA,31206,Single,,2.5,12000,$123.27 ,,,"$105,768.00 ",7.15%,"$1,479,273.00 ",No
Family Dollar,https://www.crexi.com/properties/487062/south-carolina-family-dollar#,On-Market,Retail,914 Elm St W,Hampton,SC,29924,Multi,25.3,5,17920,$33.48 ,3,,"$50,900.00 ",8.48%,"$600,000.00 ",No
Family Dollar,https://www.crexi.com/properties/498972/michigan-family-dollar#,On-Market,Retail,1717 Ashmun St,Sault Ste. Marie,MI,49783,Single,10.7,6.2,8400,$166.07 ,,,"$109,096.00 ",7.82%,"$1,395,000.00 ",No
Family Dollar,https://www.crexi.com/properties/525402/south-carolina-family-dollar#,On-Market,Retail,202 W Main St,Lamar,SC,29069,Single,21,7,9180,$122.00 ,1,,"$89,540.00 ",8.00%,"$1,120,000.00 ",No
Family Dollar,https://www.crexi.com/properties/396068/georgia-family-dollar#,On-Market,Retail,2123 Pio Nono Ave,Macon,GA,31206,Single,,,8000,$142.15 ,,,"$81,312.00 ",7.15%,"$1,137,231.00 ",Yes
Family Dollar,https://www.crexi.com/properties/370579/california-family-dollar#,On-Market,Retail,408 East 2nd Street,Calexico,CA,92231,Single,9.3,6.7,8701,,,,"$158,000.00 ",7.00%,"$2,257,140.00 ",Yes
Family Dollar,https://www.crexi.com/properties/305928/colorado-family-dollar#,On-Market,Retail,4775 N. Yampa Street,Denver,CO,80249,Single,,1.1,8320,$248.20 ,,,"$124,000.00 ",6.60%,"$2,065,000.00 ",No
Family Dollar,https://www.crexi.com/properties/424886/mississippi-family-dollar#,On-Market,Retail,6000 Frederick St,Moss Point,MS,39563,Single,12,2.9,8500,$119.80 ,1,,"$91,650.00 ",9.00%,"$1,018,333.00 ",No
Family Dollar,https://www.crexi.com/properties/400616/colorado-family-dollar#,On-Market,Retail,307 6th St,Las Animas,CO,81054,Single,,4.5,11380,$105.45 ,1,,"$95,795.00 ",7.98%,"$1,200,000.00 ",Yes
Family Dollar,https://www.crexi.com/properties/435215/west-virginia-family-dollar#,On-Market,Retail,1536 Hendrix Ave,Charleston,WV,25312,Single,33.1,3,9920,$110.89 ,,,"$95,155.56 ",8.65%,"$1,100,000.00 ",No
Family Dollar,https://www.crexi.com/properties/469947/tennessee-family-dollar#,On-Market,Retail,180 S Washington St,Ripley,TN,38063,Single,11.2,3.2,8320,$128.35 ,,,"$92,373.00 ",8.65%,"$1,067,896.00 ",Yes
Family Dollar,https://www.crexi.com/properties/500409/ohio-family-dollar#,On-Market,Retail,5335 Salem Ave,Dayton,OH,45426,Single,13.4,5.1,8320,$136.43 ,,,"$90,811.00 ",8.00%,"$1,135,138.00 ",No
Family Dollar,https://www.crexi.com/properties/482390/illinois-family-dollar#,On-Market,Retail,5222 W Grand Ave #5226,Chicago,IL,60639,Single,10,5,12326,$47.98 ,,,,7.00%,"$591,429.00 ",No
Family Dollar,https://www.crexi.com/properties/513323/ohio-family-dollar#,On-Market,Retail,17 Mansfield Ave,Shelby,OH,44875,Single,15,2.5,9180,$119.83 ,,,"$94,600.00 ",8.60%,"$1,100,000.00 ",No
