NAME,GEO_ID,B19013_001E,B19013_001M,NAME,B19013_001EA,B19013_001MA,zip code tabulation area
93428,8600000US93428,66731,7352,93428,null,null,93428
93434,8600000US93434,44000,5492,93434,null,null,93434
93440,8600000US93440,65608,5191,93440,null,null,93440
93535,8600000US93535,42978,2713,93535,null,null,93535
93510,8600000US93510,92727,10008,93510,null,null,93510
93513,8600000US93513,57500,10543,93513,null,null,93513
93517,8600000US93517,49034,11573,93517,null,null,93517
93543,8600000US93543,41626,5677,93543,null,null,93543
93555,8600000US93555,60000,5579,93555,null,null,93555
93604,8600000US93604,81036,8812,93604,null,null,93604
93614,8600000US93614,60101,3880,93614,null,null,93614
93625,8600000US93625,53793,9632,93625,null,null,93625
93630,8600000US93630,46610,5176,93630,null,null,93630
93631,8600000US93631,63884,10042,93631,null,null,93631
93637,8600000US93637,49937,3505,93637,null,null,93637
93641,8600000US93641,2499,-333333333,93641,2,500-,***,93641
93643,8600000US93643,53889,16646,93643,null,null,93643
93926,8600000US93926,52298,5688,93926,null,null,93926
93932,8600000US93932,34583,18683,93932,null,null,93932
93953,8600000US93953,130833,32494,93953,null,null,93953
93003,8600000US93003,74012,2900,93003,null,null,93003
93023,8600000US93023,71661,4610,93023,null,null,93023
93103,8600000US93103,83342,7060,93103,null,null,93103
93108,8600000US93108,134667,15148,93108,null,null,93108
93601,8600000US93601,56455,9612,93601,null,null,93601
93603,8600000US93603,-666666666,-222222222,93603,-,**,93603
78665,8600000US78665,92511,4308,78665,null,null,78665
78633,8600000US78633,74375,3079,78633,null,null,78633
78951,8600000US78951,-666666666,-222222222,78951,-,**,78951
93524,8600000US93524,-666666666,-222222222,93524,-,**,93524
93314,8600000US93314,105414,6689,93314,null,null,93314
93558,8600000US93558,26029,3467,93558,null,null,93558
93730,8600000US93730,118487,12323,93730,null,null,93730
93449,8600000US93449,77316,9312,93449,null,null,93449
93723,8600000US93723,71861,10128,93723,null,null,93723
93628,8600000US93628,73750,73598,93628,null,null,93628
93652,8600000US93652,36750,3361,93652,null,null,93652
93033,8600000US93033,57829,2170,93033,null,null,93033
93519,8600000US93519,-666666666,-222222222,93519,-,**,93519
93235,8600000US93235,29898,7826,93235,null,null,93235
93283,8600000US93283,31071,10507,93283,null,null,93283
93426,8600000US93426,83523,7381,93426,null,null,93426
93545,8600000US93545,41583,16199,93545,null,null,93545
78216,8600000US78216,46186,3526,78216,null,null,78216
78573,8600000US78573,35740,3875,78573,null,null,78573
78150,8600000US78150,-666666666,-222222222,78150,-,**,78150
78243,8600000US78243,-666666666,-222222222,78243,-,**,78243
78802,8600000US78802,90015,84190,78802,null,null,78802
78590,8600000US78590,26875,16878,78590,null,null,78590
78069,8600000US78069,45135,8451,78069,null,null,78069
78132,8600000US78132,95979,6402,78132,null,null,78132
78732,8600000US78732,142612,17547,78732,null,null,78732
78833,8600000US78833,32000,9740,78833,null,null,78833
78564,8600000US78564,-666666666,-222222222,78564,-,**,78564
78712,8600000US78712,-666666666,-222222222,78712,-,**,78712
78567,8600000US78567,20938,17168,78567,null,null,78567
78218,8600000US78218,40406,2410,78218,null,null,78218
78219,8600000US78219,32795,3244,78219,null,null,78219
78223,8600000US78223,40326,1649,78223,null,null,78223
78225,8600000US78225,33057,4012,78225,null,null,78225
78227,8600000US78227,38804,2126,78227,null,null,78227
78239,8600000US78239,59844,3701,78239,null,null,78239
78254,8600000US78254,82330,2266,78254,null,null,78254
78261,8600000US78261,102860,4737,78261,null,null,78261
78266,8600000US78266,114003,6649,78266,null,null,78266
78332,8600000US78332,41112,3665,78332,null,null,78332
78353,8600000US78353,22391,16957,78353,null,null,78353
78503,8600000US78503,32968,5145,78503,null,null,78503
78577,8600000US78577,39388,3235,78577,null,null,78577
78585,8600000US78585,13348,6435,78585,null,null,78585
78932,8600000US78932,55625,24438,78932,null,null,78932
78885,8600000US78885,105313,24585,78885,null,null,78885
78870,8600000US78870,34632,7253,78870,null,null,78870
78881,8600000US78881,36875,8730,78881,null,null,78881
78884,8600000US78884,52667,7836,78884,null,null,78884
78934,8600000US78934,44775,9408,78934,null,null,78934
78935,8600000US78935,76667,36036,78935,null,null,78935
78541,8600000US78541,33829,3563,78541,null,null,78541
78591,8600000US78591,45625,17107,78591,null,null,78591
78535,8600000US78535,-666666666,-222222222,78535,-,**,78535
78677,8600000US78677,55000,25611,78677,null,null,78677
78419,8600000US78419,51518,6664,78419,null,null,78419
78705,8600000US78705,15309,2456,78705,null,null,78705
78759,8600000US78759,76749,3641,78759,null,null,78759
78060,8600000US78060,-666666666,-222222222,78060,-,**,78060
78341,8600000US78341,32143,7715,78341,null,null,78341
78574,8600000US78574,34511,3445,78574,null,null,78574
78931,8600000US78931,96944,73097,78931,null,null,78931
78162,8600000US78162,32330,4626,78162,null,null,78162
78104,8600000US78104,63194,17431,78104,null,null,78104
78563,8600000US78563,40446,18119,78563,null,null,78563
78342,8600000US78342,40521,12030,78342,null,null,78342
78029,8600000US78029,-666666666,-222222222,78029,-,**,78029
78536,8600000US78536,-666666666,-222222222,78536,-,**,78536
78133,8600000US78133,58540,5237,78133,null,null,78133
78258,8600000US78258,104802,4327,78258,null,null,78258
78404,8600000US78404,41513,4039,78404,null,null,78404
78580,8600000US78580,28271,4176,78580,null,null,78580
78639,8600000US78639,41230,4204,78639,null,null,78639
78044,8600000US78044,41250,37810,78044,null,null,78044
78843,8600000US78843,-666666666,-222222222,78843,-,**,78843
78628,8600000US78628,84147,3102,78628,null,null,78628
78702,8600000US78702,54053,4982,78702,null,null,78702
78745,8600000US78745,60567,1600,78745,null,null,78745
78946,8600000US78946,40385,16879,78946,null,null,78946
78374,8600000US78374,64057,8407,78374,null,null,78374
78542,8600000US78542,36538,2659,78542,null,null,78542
78335,8600000US78335,-666666666,-222222222,78335,-,**,78335
78009,8600000US78009,57744,11557,78009,null,null,78009
78066,8600000US78066,65352,7100,78066,null,null,78066
78595,8600000US78595,24012,7122,78595,null,null,78595
78672,8600000US78672,50817,14266,78672,null,null,78672
78109,8600000US78109,65220,3072,78109,null,null,78109
87412,8600000US87412,49201,11671,87412,null,null,87412
87002,8600000US87002,36773,1347,87002,null,null,87002
87012,8600000US87012,33409,22856,87012,null,null,87012
87413,8600000US87413,50919,4198,87413,null,null,87413
87514,8600000US87514,34747,13630,87514,null,null,87514
87939,8600000US87939,51484,17976,87939,null,null,87939
87935,8600000US87935,34583,14294,87935,null,null,87935
87942,8600000US87942,29625,14531,87942,null,null,87942
87043,8600000US87043,72898,10710,87043,null,null,87043
87045,8600000US87045,16333,3840,87045,null,null,87045
87062,8600000US87062,26895,14696,87062,null,null,87062
87109,8600000US87109,49141,3006,87109,null,null,87109
87317,8600000US87317,23370,13471,87317,null,null,87317
87322,8600000US87322,39583,18472,87322,null,null,87322
87325,8600000US87325,31397,1454,87325,null,null,87325
87357,8600000US87357,22212,6455,87357,null,null,87357
87364,8600000US87364,19271,3827,87364,null,null,87364
87417,8600000US87417,51643,19584,87417,null,null,87417
90017,8600000US90017,28638,2932,90017,null,null,90017
90036,8600000US90036,74279,3669,90036,null,null,90036
90064,8600000US90064,92194,6054,90064,null,null,90064
90065,8600000US90065,58405,2572,90065,null,null,90065
90241,8600000US90241,64222,4287,90241,null,null,90241
90248,8600000US90248,58703,6334,90248,null,null,90248
90270,8600000US90270,37553,3087,90270,null,null,90270
76472,8600000US76472,49038,16259,76472,null,null,76472
76401,8600000US76401,46327,3802,76401,null,null,76401
76435,8600000US76435,33393,11600,76435,null,null,76435
76455,8600000US76455,50417,4959,76455,null,null,76455
76484,8600000US76484,38828,9633,76484,null,null,76484
76379,8600000US76379,65333,13448,76379,null,null,76379
76360,8600000US76360,36856,7408,76360,null,null,76360
76372,8600000US76372,40335,3490,76372,null,null,76372
76374,8600000US76374,46089,6307,76374,null,null,76374
76427,8600000US76427,34736,5476,76427,null,null,76427
76429,8600000US76429,-666666666,-222222222,76429,-,**,76429
76501,8600000US76501,42361,3339,76501,null,null,76501
76502,8600000US76502,64725,2865,76502,null,null,76502
76261,8600000US76261,54750,13106,76261,null,null,76261
76228,8600000US76228,51625,9521,76228,null,null,76228
76248,8600000US76248,123446,7410,76248,null,null,76248
76251,8600000US76251,43421,6104,76251,null,null,76251
76268,8600000US76268,41250,13115,76268,null,null,76268
76311,8600000US76311,60208,4336,76311,null,null,76311
76364,8600000US76364,58750,33600,76364,null,null,76364
76366,8600000US76366,48750,16618,76366,null,null,76366
76430,8600000US76430,43958,5129,76430,null,null,76430
76070,8600000US76070,80709,41739,76070,null,null,76070
76126,8600000US76126,82063,3430,76126,null,null,76126
76250,8600000US76250,82143,48155,76250,null,null,76250
76943,8600000US76943,51712,8673,76943,null,null,76943
76108,8600000US76108,63333,2593,76108,null,null,76108
76836,8600000US76836,-666666666,-222222222,76836,-,**,76836
76908,8600000US76908,-666666666,-222222222,76908,-,**,76908
76598,8600000US76598,-666666666,-222222222,76598,-,**,76598
76597,8600000US76597,-666666666,-222222222,76597,-,**,76597
76596,8600000US76596,-666666666,-222222222,76596,-,**,76596
76182,8600000US76182,86386,3315,76182,null,null,76182
76573,8600000US76573,-666666666,-222222222,76573,-,**,76573
76209,8600000US76209,50810,4196,76209,null,null,76209
76263,8600000US76263,71071,37385,76263,null,null,76263
76210,8600000US76210,85890,4835,76210,null,null,76210
76085,8600000US76085,69385,9261,76085,null,null,76085
76244,8600000US76244,100861,4237,76244,null,null,76244
76061,8600000US76061,-666666666,-222222222,76061,-,**,76061
76084,8600000US76084,57455,5184,76084,null,null,76084
76114,8600000US76114,46096,4069,76114,null,null,76114
76120,8600000US76120,46404,10308,76120,null,null,76120
76549,8600000US76549,51972,2112,76549,null,null,76549
76630,8600000US76630,66657,8406,76630,null,null,76630
76033,8600000US76033,53671,2988,76033,null,null,76033
76177,8600000US76177,92990,6502,76177,null,null,76177
76208,8600000US76208,74813,3758,76208,null,null,76208
76654,8600000US76654,43000,12522,76654,null,null,76654
76939,8600000US76939,-666666666,-222222222,76939,-,**,76939
76599,8600000US76599,-666666666,-222222222,76599,-,**,76599
76164,8600000US76164,35401,3086,76164,null,null,76164
76129,8600000US76129,-666666666,-222222222,76129,-,**,76129
76957,8600000US76957,-666666666,-222222222,76957,-,**,76957
76041,8600000US76041,52097,45596,76041,null,null,76041
76082,8600000US76082,60768,5362,76082,null,null,76082
76133,8600000US76133,52583,3283,76133,null,null,76133
76258,8600000US76258,60075,9696,76258,null,null,76258
76650,8600000US76650,51607,26899,76650,null,null,76650
76508,8600000US76508,-666666666,-222222222,76508,-,**,76508
76820,8600000US76820,86429,15750,76820,null,null,76820
76008,8600000US76008,118268,10302,76008,null,null,76008
76006,8600000US76006,43112,3158,76006,null,null,76006
76011,8600000US76011,35681,1749,76011,null,null,76011
76021,8600000US76021,68912,2900,76021,null,null,76021
76039,8600000US76039,64385,2422,76039,null,null,76039
76043,8600000US76043,52288,8355,76043,null,null,76043
76052,8600000US76052,105586,15910,76052,null,null,76052
76092,8600000US76092,207127,11575,76092,null,null,76092
76102,8600000US76102,62664,9797,76102,null,null,76102
76107,8600000US76107,62137,3350,76107,null,null,76107
76131,8600000US76131,79033,4326,76131,null,null,76131
76140,8600000US76140,52752,4163,76140,null,null,76140
76155,8600000US76155,51934,7595,76155,null,null,76155
76234,8600000US76234,61645,7327,76234,null,null,76234
76259,8600000US76259,75500,14252,76259,null,null,76259
76262,8600000US76262,107191,5789,76262,null,null,76262
76273,8600000US76273,60739,8577,76273,null,null,76273
76458,8600000US76458,53897,7428,76458,null,null,76458
76623,8600000US76623,39219,23543,76623,null,null,76623
76402,8600000US76402,-666666666,-222222222,76402,-,**,76402
82936,8600000US82936,-666666666,-222222222,82936,-,**,82936
82834,8600000US82834,51923,5659,82834,null,null,82834
82845,8600000US82845,-666666666,-222222222,82845,-,**,82845
82901,8600000US82901,72633,5483,82901,null,null,82901
82941,8600000US82941,89453,18967,82941,null,null,82941
82050,8600000US82050,46420,5808,82050,null,null,82050
82944,8600000US82944,-666666666,-222222222,82944,-,**,82944
82945,8600000US82945,47083,36861,82945,null,null,82945
82060,8600000US82060,69306,63442,82060,null,null,82060
82210,8600000US82210,43421,8722,82210,null,null,82210
82217,8600000US82217,-666666666,-222222222,82217,-,**,82217
82227,8600000US82227,29856,10966,82227,null,null,82227
82240,8600000US82240,47086,4334,82240,null,null,82240
82301,8600000US82301,60388,4494,82301,null,null,82301
82323,8600000US82323,29375,28544,82323,null,null,82323
82332,8600000US82332,-666666666,-222222222,82332,-,**,82332
82414,8600000US82414,63328,7039,82414,null,null,82414
82441,8600000US82441,76250,69277,82441,null,null,82441
82514,8600000US82514,47647,10099,82514,null,null,82514
82516,8600000US82516,50385,5863,82516,null,null,82516
82637,8600000US82637,59471,8869,82637,null,null,82637
82642,8600000US82642,42847,18646,82642,null,null,82642
82644,8600000US82644,41473,9469,82644,null,null,82644
82710,8600000US82710,80370,52323,82710,null,null,82710
82731,8600000US82731,-666666666,-222222222,82731,-,**,82731
82835,8600000US82835,54375,34058,82835,null,null,82835
82943,8600000US82943,34944,26345,82943,null,null,82943
82059,8600000US82059,-666666666,-222222222,82059,-,**,82059
82061,8600000US82061,-666666666,-222222222,82061,-,**,82061
82063,8600000US82063,-666666666,-222222222,82063,-,**,82063
82190,8600000US82190,68342,19990,82190,null,null,82190
82222,8600000US82222,-666666666,-222222222,82222,-,**,82222
82225,8600000US82225,38831,11308,82225,null,null,82225
82335,8600000US82335,40139,7999,82335,null,null,82335
82420,8600000US82420,75227,15892,82420,null,null,82420
82432,8600000US82432,33000,11399,82432,null,null,82432
82442,8600000US82442,55577,7186,82442,null,null,82442
82513,8600000US82513,45231,10089,82513,null,null,82513
82723,8600000US82723,60982,53384,82723,null,null,82723
82730,8600000US82730,63906,20581,82730,null,null,82730
82833,8600000US82833,-666666666,-222222222,82833,-,**,82833
82839,8600000US82839,61917,15620,82839,null,null,82839
82938,8600000US82938,-666666666,-222222222,82938,-,**,82938
82219,8600000US82219,-666666666,-222222222,82219,-,**,82219
82221,8600000US82221,33750,16457,82221,null,null,82221
82244,8600000US82244,57063,37006,82244,null,null,82244
82327,8600000US82327,48056,10404,82327,null,null,82327
82433,8600000US82433,48125,17189,82433,null,null,82433
82512,8600000US82512,26250,5335,82512,null,null,82512
82620,8600000US82620,94000,21862,82620,null,null,82620
82636,8600000US82636,49580,11270,82636,null,null,82636
82649,8600000US82649,44000,7222,82649,null,null,82649
82714,8600000US82714,59526,33821,82714,null,null,82714
82729,8600000US82729,61522,10888,82729,null,null,82729
82842,8600000US82842,46442,10674,82842,null,null,82842
82051,8600000US82051,-666666666,-222222222,82051,-,**,82051
82054,8600000US82054,108036,64822,82054,null,null,82054
82055,8600000US82055,56285,6483,82055,null,null,82055
82072,8600000US82072,39665,4271,82072,null,null,82072
82083,8600000US82083,22202,3700,82083,null,null,82083
82201,8600000US82201,47354,7364,82201,null,null,82201
82214,8600000US82214,57273,8268,82214,null,null,82214
82324,8600000US82324,53929,17825,82324,null,null,82324
82443,8600000US82443,48125,5670,82443,null,null,82443
82925,8600000US82925,-666666666,-222222222,82925,-,**,82925
82604,8600000US82604,62634,3888,82604,null,null,82604
82609,8600000US82609,65227,4794,82609,null,null,82609
82633,8600000US82633,64646,8481,82633,null,null,82633
82712,8600000US82712,61713,17183,82712,null,null,82712
82727,8600000US82727,89886,31310,82727,null,null,82727
82732,8600000US82732,78432,8285,82732,null,null,82732
82831,8600000US82831,42083,33119,82831,null,null,82831
82837,8600000US82837,-666666666,-222222222,82837,-,**,82837
82923,8600000US82923,250001,-333333333,82923,250,000+,***,82923
82939,8600000US82939,52028,13880,82939,null,null,82939
82410,8600000US82410,57401,5195,82410,null,null,82410
82426,8600000US82426,48854,11378,82426,null,null,82426
82430,8600000US82430,46094,11368,82430,null,null,82430
82501,8600000US82501,54788,4926,82501,null,null,82501
82635,8600000US82635,47250,27804,82635,null,null,82635
82640,8600000US82640,-666666666,-222222222,82640,-,**,82640
85608,8600000US85608,-666666666,-222222222,85608,-,**,85608
85616,8600000US85616,40871,9509,85616,null,null,85616
85545,8600000US85545,27361,13285,85545,null,null,85545
85552,8600000US85552,50745,4657,85552,null,null,85552
85618,8600000US85618,34722,3717,85618,null,null,85618
85638,8600000US85638,33893,3200,85638,null,null,85638
85711,8600000US85711,36124,1941,85711,null,null,85711
85713,8600000US85713,33028,2259,85713,null,null,85713
85730,8600000US85730,48334,2047,85730,null,null,85730
85901,8600000US85901,46488,5471,85901,null,null,85901
85925,8600000US85925,57651,12496,85925,null,null,85925
85012,8600000US85012,62672,10390,85012,null,null,85012
85016,8600000US85016,55156,4367,85016,null,null,85016
85029,8600000US85029,42853,2812,85029,null,null,85029
85037,8600000US85037,53938,2608,85037,null,null,85037
85041,8600000US85041,50735,3898,85041,null,null,85041
85050,8600000US85050,86359,4204,85050,null,null,85050
85085,8600000US85085,86786,6251,85085,null,null,85085
85212,8600000US85212,84450,3234,85212,null,null,85212
85255,8600000US85255,122411,5077,85255,null,null,85255
85259,8600000US85259,100720,11631,85259,null,null,85259
85303,8600000US85303,52234,3885,85303,null,null,85303
85309,8600000US85309,-666666666,-222222222,85309,-,**,85309
85344,8600000US85344,35970,2830,85344,null,null,85344
85355,8600000US85355,88391,8515,85355,null,null,85355
85535,8600000US85535,-666666666,-222222222,85535,-,**,85535
85536,8600000US85536,57917,12973,85536,null,null,85536
85645,8600000US85645,42385,2432,85645,null,null,85645
85650,8600000US85650,69366,8578,85650,null,null,85650
85716,8600000US85716,37921,3032,85716,null,null,85716
85204,8600000US85204,47772,2167,85204,null,null,85204
85260,8600000US85260,82159,3596,85260,null,null,85260
85264,8600000US85264,54167,10571,85264,null,null,85264
85307,8600000US85307,52426,4646,85307,null,null,85307
85308,8600000US85308,74060,2980,85308,null,null,85308
85310,8600000US85310,97071,7025,85310,null,null,85310
85322,8600000US85322,35962,5819,85322,null,null,85322
85325,8600000US85325,50603,8721,85325,null,null,85325
