NAME,GEO_ID,B19013_001E,B19013_001M,NAME,B19013_001EA,B19013_001MA,zip code tabulation area
ZCTA5 93960,8600000US93960,54775,6194,ZCTA5 93960,,,93960
ZCTA5 93962,8600000US93962,90658,43955,ZCTA5 93962,,,93962
ZCTA5 93272,8600000US93272,33995,3263,ZCTA5 93272,,,93272
ZCTA5 93308,8600000US93308,44410,3240,ZCTA5 93308,,,93308
ZCTA5 93402,8600000US93402,73158,4900,ZCTA5 93402,,,93402
ZCTA5 93429,8600000US93429,60893,36124,ZCTA5 93429,,,93429
ZCTA5 93430,8600000US93430,61151,3433,ZCTA5 93430,,,93430
ZCTA5 93063,8600000US93063,86667,3627,ZCTA5 93063,,,93063
ZCTA5 93205,8600000US93205,23684,10859,ZCTA5 93205,,,93205
ZCTA5 93224,8600000US93224,51250,25228,ZCTA5 93224,,,93224
ZCTA5 93226,8600000US93226,64286,36396,ZCTA5 93226,,,93226
ZCTA5 93240,8600000US93240,35783,8600,ZCTA5 93240,,,93240
ZCTA5 93251,8600000US93251,43594,8860,ZCTA5 93251,,,93251
ZCTA5 93265,8600000US93265,59556,17190,ZCTA5 93265,,,93265
ZCTA5 93287,8600000US93287,78750,20753,ZCTA5 93287,,,93287
ZCTA5 93309,8600000US93309,48742,2752,ZCTA5 93309,,,93309
ZCTA5 93311,8600000US93311,92188,3170,ZCTA5 93311,,,93311
ZCTA5 93427,8600000US93427,77140,9738,ZCTA5 93427,,,93427
ZCTA5 93446,8600000US93446,65486,4020,ZCTA5 93446,,,93446
ZCTA5 93451,8600000US93451,61521,7551,ZCTA5 93451,,,93451
ZCTA5 93254,8600000US93254,44886,11344,ZCTA5 93254,,,93254
ZCTA5 93285,8600000US93285,43846,21085,ZCTA5 93285,,,93285
ZCTA5 93286,8600000US93286,41070,2433,ZCTA5 93286,,,93286
ZCTA5 93312,8600000US93312,94308,4049,ZCTA5 93312,,,93312
ZCTA5 93109,8600000US93109,97759,8713,ZCTA5 93109,,,93109
ZCTA5 93111,8600000US93111,107577,7367,ZCTA5 93111,,,93111
ZCTA5 93201,8600000US93201,30000,3851,ZCTA5 93201,,,93201
ZCTA5 93221,8600000US93221,51408,4507,ZCTA5 93221,,,93221
ZCTA5 93230,8600000US93230,54697,3613,ZCTA5 93230,,,93230
ZCTA5 93401,8600000US93401,59160,3949,ZCTA5 93401,,,93401
ZCTA5 93928,8600000US93928,-666666666,-222222222,ZCTA5 93928,-,**,93928
ZCTA5 93245,8600000US93245,54508,3303,ZCTA5 93245,,,93245
ZCTA5 93207,8600000US93207,32778,19670,ZCTA5 93207,,,93207
ZCTA5 93544,8600000US93544,50265,24207,ZCTA5 93544,,,93544
ZCTA5 93727,8600000US93727,50781,1625,ZCTA5 93727,,,93727
ZCTA5 93204,8600000US93204,34638,6120,ZCTA5 93204,,,93204
ZCTA5 93238,8600000US93238,62963,49310,ZCTA5 93238,,,93238
ZCTA5 93266,8600000US93266,35761,12275,ZCTA5 93266,,,93266
